TRACTCE,make_sqm,make_dec,serv_sqm,serv_dec,prof_sqm,prof_dec,supp_sqm,supp_dec,make_c,serv_c,prof_c,supp_c,make_15,serv_15,prof_15,supp_15,make_02,serv_02,prof_02,supp_02
151502,0.000004956862783,6,0.000022231899496,7,0.000009284869839,7,0.000017533977306,6,-0.723818756356813,0.161447771742327,0.131027673619063,0.354161833226316,0.427973019358813,1.557569238435194,0.722393370416033,1.146083639252526,1.151791775715626,1.396121466692867,0.59136569679697,0.79192180602621
150701,0.000494740508274,9,0.000655935555502,9,0.00024932244329,9,0.000262987767363,8,-0.05535686460114,0.306624046687398,-0.225202822038252,0.09281507078402,1.387245275041989,1.492444717814036,0.629978307666081,0.55826154140763,1.442602139643129,1.185820671126638,0.855181129704333,0.46544647062361
153002,0.000193376446956,8,0.000591714104972,8,0.000175999300801,8,0.000319026580693,7,0.428062028704024,1.727154230173015,0.506637688031117,-2.75576923902729,0.704398709515039,1.748993495014534,0.577715946820343,0.879768125710655,0.276336680811015,0.021839264841519,0.071078258789226,3.635537364737945
150800,0.000007310728769,6,0.000002605804314,1,0.000001447669063,1,0.000113497254559,9,0.19755464442755,-0.19309038151095,-0.172317944863465,-0.241821864495993,0.27302142087238,0.078965819452752,0.048718485862113,3.208837954709257,0.07546677644483,0.272056200963702,0.221036430725578,3.45065981920525
152300,0.000014669842566,4,0.000039407224147,3,0.00003221612485,6,0.000819210031906,9,-1.099382865682505,-0.49420548676807,-0.270968045234454,1.497644402455001,0.075543986756475,0.16466890161453,0.149498276184246,3.193714486662985,1.17492685243898,0.6588743883826,0.4204663214187,1.696070084207984
153404,0.000010841872952,5,0.000010149838508,2,0.000005074919254,3,0.000015801453132,1,0.714426441128665,0.772469773662996,0.309837689614636,-1.827777020175933,1.207495933078483,0.917279720915801,0.509329624922086,1.332308409313447,0.493069491949818,0.144809947252805,0.19949193530745,3.16008542948938
151309,0.000003021240154,6,1.38588998e-7,0,6.92944989e-7,2,0.000008952849263,5,0.324921967624737,-1.616410120532579,-0.148513276823133,1.355700224510902,1.100142571247037,0.040949987540884,0.227379296840217,2.468035338003482,0.7752206036223,1.657360108073463,0.37589257366335,1.11233511349258
151307,0.000027625424866,6,0.000071068633325,5,0.000005124070741,2,0.000026065925075,1,0.526108355587123,0.123703740062703,-0.285162517511794,-0.361108290078976,0.991785097984173,2.070369558765144,0.165772377922754,0.708448253458094,0.46567674239705,1.946665818702441,0.450934895434548,1.06955654353707
151204,0.000014742467861,4,0.000120647543107,6,0.000013839867788,3,0.000054757737769,2,-0.131438975535645,0.628930198298536,0.016087861474439,-0.638067485172651,0.337000724309091,2.237898699645794,0.285089369701964,0.947616297070626,0.468439699844736,1.608968501347258,0.269001508227525,1.585683782243277
152501,0.00001756886235,3,0.00009286398671,4,0.000019074764838,3,0.000095875791684,3,-0.720011940505498,0.706521612582335,0.185753321696018,-0.314604224721843,0.363484713779134,1.559018011189021,0.35562324590885,1.501681578575736,1.083496654284632,0.852496398606686,0.169869924212832,1.816285803297579
368001,0.000048151784078,3,0.000057261581066,1,0.000002602799139,0,0.000171784743197,1,-0.398910471550229,-1.142911327611646,-0.448027494266977,1.881244094419515,0.80246798006814,0.774354741145199,0.039088087494021,2.167336266870247,1.201378451618369,1.917266068756845,0.487115581760998,0.286092172450732
303205,0.000008583916757,6,0.000043792524471,7,0.000016440382941,7,0.000011493719047,2,-1.056179806727093,1.350488521122832,0.215802468680776,-0.528561776738268,0.498399252211337,2.063256220076233,0.860185766002925,0.505218029380643,1.55457905893843,0.712767698953401,0.644383297322149,1.033779806118911
304003,0.000014149846439,6,0.000014677825783,3,0.000002323109117,1,0.000010242799288,1,0.797590812431552,0.912027959903941,-0.351005790711432,-1.315127249527854,1.593981143530275,1.341697091785962,0.235824813579996,0.8735273238555,0.796390331098723,0.429669131882021,0.586830604291428,2.188654573383354
303204,0.000013465832681,2,0.00006203901485,3,0.000012503987489,2,0.000152452462848,5,0.064521301021477,-1.347147244612871,0.071388897105836,1.00378105920562,0.26112741837893,0.976214942984641,0.218502409091575,2.23810307982639,0.196606117357453,2.323362187597512,0.147113511985739,1.23432202062077
355110,0.000064199336139,6,0.000385754271932,7,0.000044660407749,5,0.000177525120802,5,-1.568188349542463,1.960207422790967,-0.737102393145195,0.195719870865297,0.445385220597664,2.171587362545992,0.27920062495729,0.932376803117882,2.013573570140127,0.211379939755025,1.016303018102485,0.736656932252585
306004,0.00027024258617,8,0.000020124447906,1,0.000036224006231,4,0.000062098296396,1,2.038051776804661,-1.362527775224105,-0.58262750589884,0.343914530658384,3.242019406120483,0.195905709626063,0.391603657623157,0.563985432543562,1.203967629315822,1.558433484850168,0.974231163521997,0.220070901885178
304004,0.000011348611366,3,0.000027447804233,3,0.000012140374949,3,0.000007917635836,0,-0.149079746560889,0.971433050214275,0.070956853188829,-0.875551399672606,0.899141495058775,1.764632288219186,0.866773958107316,0.474905521175197,1.048221241619664,0.793199238004911,0.795817104918487,1.350456920847803
